nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G2171	G2171 εὐχή [euchē]; rzeczownik						
G2172	G2172 εὔχομαι [euchomai]; czasownik						
G2173	G2173 εὔχρηστος [euchrēstos]; przymiotnik						
G2174	G2174 εὐψυχέω [eupsycheō]; czasownik						
G2175	G2175 εὐωδία [euōdia]; rzeczownik						
G2176	G2176 εὐώνυμος [euōnymos]; przymiotnik						
G2177	G2177 ἐφάλλομαι [efallomai]; czasownik						
G2178	G2178 ἐφάπαξ [efapax]; przysłówek						
G2179	G2179 Ἐφεσίνος [Efesinos]; rzeczownik						
G2180	G2180 Ἐφέσιος [Efesios]; przymiotnik						
G2181	G2181 Ἔφεσος [Efesos]; rzeczownik						
G2182	G2182 ἐφευρέτης [efeuretēs]; rzeczownik						
G2183	G2183 ἐφημερία [efēmeria]; rzeczownik						
G2184	G2184 ἐφήμερος [efēmeros]; przymiotnik						
G2185	G2185 ἐφικνέομαι [efikneomai]; czasownik						
G2186	G2186 ἐφίστημι [efistēmi]; czasownik						
G2187	G2187 Ἐφραΐμ [Efraim]; rzeczownik						
G2188	G2188 ἐφφαθά [effatha]; transliteracja słowa aram.						
G2189	G2189 ἔχθρα [echthra]; rzeczownik						
G2190	G2190 ἐχθρός [echthros]; przymiotnik						
G2191	G2191 ἔχιδνα [echidna]; rzeczownik						
G2192	G2192 ἔχω [echō]; czasownik						
G2193	G2193 ἕως [heōs]; spójnik						
G2194	G2194 Ζαβουλών [dzabulōn]; rzeczownik						
G2195	G2195 Ζακχαῖος [dzakchaios]; rzeczownik						
G2196	G2196 Ζαρά [dzara]; rzeczownik						
G2197	G2197 Ζαχαρίας [dzacharias]; rzeczownik						
G2198	G2198 ζάω [dzaō]; czasownik						
G2199	G2199 Ζεβεδαῖος [dzebedaios]; rzeczownik						
G2200	G2200 ζεστός [dzestos]; przymiotnik						
G2201	G2201 ζεῦγος [dzeugos]; rzeczownik						
G2202	G2202 ζευκτηρία [dzeuktēria]; rzeczownik						
G2203	G2203 Ζεύς [dzeus]; rzeczownik						
G2204	G2204 ζέω [dzeō]; czasownik						
G2205	G2205 ζῆλος [dzēlos]; rzeczownik						
G2206	G2206 ζηλόω [dzēloō]; czasownik						
G2207	G2207 ζηλωτής [dzēlōtēs]; rzeczownik						
G2208	G2208 Ζηλωτής [dzēlōtēs]; rzeczownik						
G2209	G2209 ζημία [dzēmia]; rzeczownik						
G2210	G2210 ζημιόω [dzēmioō]; czasownik						
G2211	G2211 Ζηνᾶς [dzēnas]; rzeczownik						
G2212	G2212 ζητέω [dzēteō]; czasownik						
G2213	G2213 ζήτημα [dzētēma]; rzeczownik						
G2214	G2214 ζήτησις [dzētēsis]; rzeczownik						
G2215	G2215 ζιζάνιον [dzidzanion]; rzeczownik						
G2216	G2216 Ζοροβάβελ [dzorobabel]; rzeczownik						
G2217	G2217 ζόφος [dzofos]; rzeczownik						
G2218	G2218 ζυγός [dzygos]; rzeczownik						
G2219	G2219 ζύμη [dzymē]; rzeczownik						
G2220	G2220 ζυμόω [dzymoō]; czasownik						
G2221	G2221 ζωγρέω [dzōgreō]; czasownik						
G2222	G2222 ζωή [dzōē]; rzeczownik						
G2223	G2223 ζώνη [dzōnē]; rzeczownik						
G2224	G2224 ζώννυμι [dzōnnymi]; czasownik						
G2225	G2225 ζωογονέω [dzōogoneō]; czasownik						
G2226	G2226 ζῶον [dzōon]; rzeczownik						
G2227	G2227 ζωοποιέω [dzōopoieō]; czasownik						
G2228	G2228 ἤ [ē]; czasownik						
G2229	G2229 ἦ [ē]; partykuła						
G2230	G2230 ἡγεμονεύω [hēgemoneuō]; czasownik						
G2231	G2231 ἡγεμονία [hēgemonia]; rzeczownik						
G2232	G2232 ἡγεμών [hēgemōn]; rzeczownik						
G2233	G2233 ἡγέομαι [hēgeomai]; czasownik						
G2234	G2234 ἡδέως [hēdeōs]; przysłówek						
G2235	G2235 ἤδη [ēdē]; przysłówek						
G2236	G2236 ἥδιστα [hēdista]; przysłówek						
G2237	G2237 ἡδονή [hēdonē]; rzeczownik						
G2238	G2238 ἡδύοσμον [hēdyosmon]; rzeczownik						
G2239	G2239 ἤθος [ēthos]; rzeczownik						
G2240	G2240 ἥκω [hēkō]; czasownik						
G2241	G2241 ἠλί [ēli]; transliteracja słowa hebr.						
G2242	G2242 Ἡλί [Ēli]; rzeczownik						
G2243	G2243 Ἡλίας [Ēlias]; rzeczownik						
G2244	G2244 ἡλικία [hēlikia]; rzeczownik						
G2245	G2245 ἡλίκος [hēlikos]; przymiotnik						
G2246	G2246 ἥλιος [hēlios]; rzeczownik						
G2247	G2247 ἥλος [hēlos]; rzeczownik						
G2248	G2248 ἡμᾶς [hēmas]; zaimek						
G2249	G2249 ἡμεῖς [hēmeis]; zaimek						
G2250	G2250 ἡμέρα [hēmera]; rzeczownik						
G2251	G2251 ἡμέτερος [hēmeteros]; zaimek						
G2252	G2252 ἤμην [ēmēn]; czasownik						
G2253	G2253 ἡμιθανής [hēmithanēs]; przymiotnik						
G2254	G2254 ἡμῖν [hēmin]; zaimek						
G2255	G2255 ἥμισυ [hēmisys]; przymiotnik						
G2256	G2256 ἡμιώριον [hēmiōrion]; rzeczownik						
G2257	G2257 ἡμῶν [hēmōn]; zaimek						
G2258	G2258 ἦν [ēn]; czasownik						
G2259	G2259 ἡνίκα [hēnika]; przysłówek						
G2260	G2260 ἤπερ [ēper]; partykuła						
G2261	G2261 ἤπιος [ēpios]; przymiotnik						
G2262	G2262 Ἤρ [Ēr]; rzeczownik						
G2263	G2263 ἤρεμος [ēremos]; przymiotnik						
G2264	G2264 Ἡρώδης [Hērōdēs]; rzeczownik						
G2265	G2265 Ἡρωδιανοί [Hērōdianoi]; rzeczownik						
G2266	G2266 Ἡρωδιάς [Hērōdias]; rzeczownik						
G2267	G2267 Ἡρωδίων [Hērōdiōn]; rzeczownik						
G2268	G2268 Ἡσαίας [Ēsaïas]; rzeczownik						
G2269	G2269 Ἠσαῦ [Ēsau]; rzeczownik						
G2270	G2270 ἡσυχάζω [hēsychadzō]; czasownik						
G2271	G2271 ἡσυχία [hēsychia]; rzeczownik						
G2272	G2272 ἡσύχιος [hēsychios]; przymiotnik						
G2273	G2273 ἤτοι [ētoi]; spójnik						
G2274	G2274 ἡττάω [hēttaomai]; czasownik						
G2275	G2275 ἥττημα [hēttēma]; rzeczownik						
G2276	G2276 ἥττον [hēssōn]; przymiotnik						
G2277	G2277 ἤτω [ētō]; czasownik						
G2278	G2278 ἠχέω [ēcheō]; czasownik						
G2279	G2279 ἦχος [ēchos]; rzeczownik						
G2280	G2280 Θαδδαῖος [Thaddaios]; rzeczownik						
G2281	G2281 θάλασσα [thalassa]; rzeczownik						
G2282	G2282 θάλπω [thalpō]; czasownik						
G2283	G2283 Θάμαρ [Thamar]; rzeczownik						
G2284	G2284 θαμβέω [thambeō]; czasownik						
G2285	G2285 θάμβος [thambos]; rzeczownik						
G2286	G2286 θανάσιμος [thanasimos]; przymiotnik						
G2287	G2287 θανατήφορος [thanatēforos]; przymiotnik						
G2288	G2288 θάνατος [thanatos]; rzeczownik						
G2289	G2289 θανατόω [thanatoō]; czasownik						
G2290	G2290 θάπτω [thaptō]; czasownik						
G2291	G2291 Θάρα [Thara]; rzeczownik						
G2292	G2292 θαρῥέω [tharreō]; czasownik						
G2293	G2293 θαρσέω [tharseō]; czasownik						
G2294	G2294 θάρσος [tharsos]; rzeczownik						
G2295	G2295 θαῦμα [thauma]; rzeczownik						
G2296	G2296 θαυμάζω [thaumadzō]; czasownik						
G2297	G2297 θαυμάσιος [thaumasios]; przymiotnik						
G2298	G2298 θαυμαστός [thaumastos]; przymiotnik						
G2299	G2299 θεά [thea]; rzeczownik						
G2300	G2300 θεάομαι [theaomai]; czasownik						
G2301	G2301 θεατρίζω [theatridzō]; czasownik						
G2302	G2302 θέατρον [theatron]; rzeczownik						
G2303	G2303 θεῖον [theion]; rzeczownik						
G2304	G2304 θεῖος [theios]; przymiotnik						
G2305	G2305 θειότης [theiotēs]; rzeczownik						
G2306	G2306 θειώδης [theiōdēs]; przymiotnik						
G2307	G2307 θέλημα [thelēma]; rzeczownik						
G2308	G2308 θέλησις [thelēsis]; rzeczownik						
G2309	G2309 θέλω [thelō]; czasownik						
G2310	G2310 θεμέλιος [themelios]; rzeczownik						
G2311	G2311 θεμελιόω [themelioō]; czasownik						
G2312	G2312 θεοδίδακτος [theodidaktos]; przymiotnik						
G2313	G2313 θεομαχέω [theomacheō]; czasownik						
G2314	G2314 θεόμαχος [theomachos]; przymiotnik						
G2315	G2315 θεόπνευστος [theopneustos]; przymiotnik						
G2316	G2316 θεός [theos]; rzeczownik						
G2317	G2317 θεοσέβεια [theosebeia]; rzeczownik						
G2318	G2318 θεοσεβής [theosebēs]; przymiotnik						
G2319	G2319 θεοστυγής [theostygēs]; przymiotnik						
G2320	G2320 θεότης [theotēs]; rzeczownik						
G2321	G2321 Θεόφιλος [Theofilos]; rzeczownik						
G2322	G2322 θεραπεία [therapeia]; rzeczownik						
G2323	G2323 θεραπεύω [therapeuō]; czasownik						
G2324	G2324 θεράπων [therapōn]; rzeczownik						
G2325	G2325 θερίζω [theridzō]; czasownik						
G2326	G2326 θερισμός [therismos]; rzeczownik						
G2327	G2327 θεριστής [theristēs]; rzeczownik						
G2328	G2328 θερμαίνω [thermainō]; czasownik						
G2329	G2329 θέρμη [thermē]; rzeczownik						
G2330	G2330 θέρος [theros]; rzeczownik						
G2331	G2331 Θεσσαλονικεύς [Thessalonikeus]; rzeczownik						
G2332	G2332 Θεσσαλονίκη [Thessalonikē]; rzeczownik						
G2333	G2333 Θευδᾶς [Theudas]; rzeczownik						
G2334	G2334 θεωρέω [theōreō]; czasownik						
G2335	G2335 θεωρία [theōria]; rzeczownik						
G2336	G2336 θήκη [thēkē]; rzeczownik						
G2337	G2337 θηλάζω [thēladzō]; czasownik						
G2338	G2338 θήλυς [thēlys]; przymiotnik						
G2339	G2339 θήρα [thēra]; rzeczownik						
G2340	G2340 θηρεύω [thēreuō]; czasownik						
G2341	G2341 θηριομαχέω [thēriomacheō]; czasownik						
G2342	G2342 θηρίον [thērion]; rzeczownik						
G2343	G2343 θησαυρίζω [thēsauridzō]; czasownik						
G2344	G2344 θησαυρός [thēsauros]; rzeczownik						
G2345	G2345 θιγγάνω [thinganō]; czasownik						
G2346	G2346 θλίβω [thlibō]; czasownik						
G2347	G2347 θλίψις [thlipsis]; rzeczownik						
G2348	G2348 θνήσκω [thnēskō]; czasownik						
G2349	G2349 θνητός [thnētos]; przymiotnik						
G2350	G2350 θορυβέω [thorybeō]; czasownik						
G2351	G2351 θόρυβος [thorybos]; rzeczownik						
G2352	G2352 θραύω [thrauō]; czasownik						
G2353	G2353 θρέμμα [thremma]; rzeczownik						
G2354	G2354 θρηνέω [thrēneō]; czasownik						
G2355	G2355 θρῆνος [thrēnos]; rzeczownik						
G2356	G2356 θρησκεία [thrēskeia]; rzeczownik						
G2357	G2357 θρῆσκος [thrēskos]; przymiotnik						
G2358	G2358 θριαμβεύω [thriambeuō]; czasownik						
G2359	G2359 θρίξ [thrix]; rzeczownik						
G2360	G2360 θροέω [throeō]; czasownik						
G2361	G2361 θρόμβος [thrombos]; rzeczownik						
G2362	G2362 θρόνος [thronos]; rzeczownik						
G2363	G2363 Θυάτειρα [Thyateira]; rzeczownik						
G2364	G2364 θυγάτηρ [thygatēr]; rzeczownik						
G2365	G2365 θυγάτριον [thygatrion]; rzeczownik						
G2366	G2366 θύελλα [thyella]; rzeczownik						
G2367	G2367 θύϊνος [thyïnos]; przymiotnik						
G2368	G2368 θυμίαμα [thymiama]; rzeczownik						
G2369	G2369 θυμιαστήριον [thymiatērion]; rzeczownik						
G2370	G2370 θυμιάω [thymiaō]; czasownik						
G2371	G2371 θυμομαχέω [thymomacheō]; czasownik						
G2372	G2372 θυμός [thymos]; rzeczownik						
G2373	G2373 θυμόω [thymoō]; czasownik						
G2374	G2374 θύρα [thyra]; rzeczownik						
G2375	G2375 θυρεός [thyreos]; rzeczownik						
G2376	G2376 θυρίς [thyris]; rzeczownik						
G2377	G2377 θυρωρός [thyrōros]; rzeczownik						
G2378	G2378 θυσία [thysia]; rzeczownik						
G2379	G2379 θυσιαστήριον [thysiastērion]; rzeczownik						
G2380	G2380 θύω [thyō]; czasownik						
G2381	G2381 Θωμᾶς [Thōmas]; rzeczownik						
G2382	G2382 θώραξ [thōrax]; rzeczownik						
G2383	G2383 Ἰάειρος [Iaïros]; rzeczownik						
G2384	G2384 Ἰακώβ [Iakōb]; rzeczownik						
G2385	G2385 Ἰάκωβος [Iakōbos]; rzeczownik						
G2386	G2386 ἴαμα [iama]; rzeczownik						
G2387	G2387 Ἰαμβρῆς [Iambrēs]; rzeczownik						
G2388	G2388 Ἰαννά [Iannai]; rzeczownik						
G2389	G2389 Ἰαννῆς [Iannēs]; rzeczownik						
G2390	G2390 ἰάομαι [iaomai]; czasownik						
G2391	G2391 Ἰάρεδ [Iaret]; rzeczownik						
G2392	G2392 ἴασις [iasis]; rzeczownik						
G2393	G2393 ἴασπις [iaspis]; rzeczownik						
G2394	G2394 Ἰάσων [Iasōn]; rzeczownik						
G2395	G2395 ἰατρός [iatros]; rzeczownik						
G2396	G2396 ἴδε [ide]; wykrzyknik						
G2397	G2397 ἰδέα [idea]; rzeczownik						
G2398	G2398 ἴδιος [idios]; przymiotnik						
G2399	G2399 ἰδιώτης [idiōtēs]; rzeczownik						
G2400	G2400 ἰδού [idu]; czasownik						
G2401	G2401 Ἰδουμαία [Idumaia]; rzeczownik						
G2402	G2402 ἱδρώς [hidrōs]; rzeczownik						
G2403	G2403 Ἰεζαβήλ [Iedzabel]; rzeczownik						
G2404	G2404 Ἱεράπολις [Hierapolis]; rzeczownik						
G2405	G2405 ἱερατεία [hierateia]; rzeczownik						
G2406	G2406 ἱεράτευμα [hierateuma]; rzeczownik						
G2407	G2407 ἱερατεύω [hierateuō]; czasownik						
G2408	G2408 Ἱερεμίας [Ieremias]; rzeczownik						
G2409	G2409 ἱερεύς [hiereus]; rzeczownik						
G2410	G2410 Ἱεριχώ [Ierichō]; rzeczownik						
G2411	G2411 ἱερόν [hieron]; rzeczownik						
G2412	G2412 ἱεροπρεπής [hieroprepēs]; przymiotnik						
G2413	G2413 ἱερός [hieros]; przymiotnik						
G2414	G2414 Ἱεροσόλυμα [Hierosolyma]; rzeczownik						
G2415	G2415 Ἱεροσολυμίτης [Hierosolymitēs]; rzeczownik						
G2416	G2416 ἱεροσυλέω [hierosyleō]; czasownik						
G2417	G2417 ἱερόσυλος [hierosylos]; przymiotnik						
G2418	G2418 ἱερουργέω [hierurgeō]; czasownik						
G2419	G2419 Ἱερουσαλήμ [Ierusalēm]; rzeczownik						
G2420	G2420 ἱερωσύνη [hierōsynē]; rzeczownik						
G2421	G2421 Ἰεσσαί [Iessai]; rzeczownik						
G2422	G2422 Ἰεφθάε [Iefthae]; rzeczownik						
G2423	G2423 Ἰεχονίας [Iechonias]; rzeczownik						
G2424	G2424 Ἰησοῦς [Iēsus]; rzeczownik						
G2425	G2425 ἱκανός [hikanos]; przymiotnik						
G2426	G2426 ἱκανότης [hikanotēs]; rzeczownik						
G2427	G2427 ἱκανόω [hikanoō]; czasownik						
G2428	G2428 ἱκετηρία [hiketēria]; rzeczownik						
G2429	G2429 ἱκμάς [ikmas]; rzeczownik						
G2430	G2430 Ἰκόνιον [Ikonion]; rzeczownik						
G2431	G2431 ἱλαρός [hilaros]; przymiotnik						
G2432	G2432 ἱλαρότης [hilarotēs]; rzeczownik						
G2433	G2433 ἱλάσκομαι [hilaskomai]; czasownik						
G2434	G2434 ἱλασμός [hilasmos]; rzeczownik						
G2435	G2435 ἱλαστήριον [hilastērion]; rzeczownik						
G2436	G2436 ἵλεως [hileōs]; przymiotnik						
G2437	G2437 Ἰλλυρικόν [Illyrikon]; rzeczownik						
G2438	G2438 ἱμάς [himas]; rzeczownik						
G2439	G2439 ἱματίζω [himatidzō]; czasownik						
G2440	G2440 ἱμάτιον [himation]; rzeczownik						
G2441	G2441 ἱματισμός [himatismos]; rzeczownik						
G2442	G2442 ἱμείρομαι [homeiromai]; czasownik						
G2443	G2443 ἵνα [hina]; spójnik						
G2444	G2444 ἱνατί [hinati]; przysłówek						
G2445	G2445 Ἰόππη [Ioppē]; rzeczownik						
G2446	G2446 Ἰορδάνης [Iordanēs]; rzeczownik						
G2447	G2447 ἰός [ios]; rzeczownik						
G2448	G2448 Ἰουδά [Iuda]; rzeczownik						
G2449	G2449 Ἰουδαία [Iudaia]; rzeczownik						
G2450	G2450 Ἰουδαίζω [iudaïdzō]; czasownik						
G2451	G2451 Ἰουδαϊκός [Iudaïkos]; przymiotnik						
G2452	G2452 Ἰουδαϊκώς [Iudaïkōs]; przysłówek						
G2453	G2453 Ἰουδαῖος [Iudaios]; przymiotnik						
G2454	G2454 Ἰουδαϊσμός [Iudaïsmos]; rzeczownik						
G2455	G2455 Ἰουδάς [Iudas]; rzeczownik						
G2456	G2456 Ἰουλία [Iulia]; rzeczownik						
G2457	G2457 Ἰούλιος [Iulios]; rzeczownik						
G2458	G2458 Ἰουνίας [Iunias]; rzeczownik						
G2459	G2459 Ἰοῦστος [Iustos]; rzeczownik						
G2460	G2460 ἱππεύς [hippeus]; rzeczownik						
G2461	G2461 ἱππικόν [hippikos]; przymiotnik						
G2462	G2462 ἵππος [hippos]; rzeczownik						
G2463	G2463 ἶρις [iris]; rzeczownik						
G2464	G2464 Ἰσαάκ [Isaak]; rzeczownik						
G2465	G2465 ἰσάγγελος [isangelos]; przymiotnik						
G2466	G2466 Ἰσαχάρ [Issachar]; rzeczownik						
G2467	G2467 ἴσημι [isēmi]; czasownik						
G2468	G2468 ἴσθι [isthi]; czasownik						
G2469	G2469 Ἰσκαριώτης [Iskariōth]; rzeczownik						
G2470	G2470 ἴσος [isos]; przymiotnik						
G2471	G2471 ἰσότης [isotēs]; rzeczownik						
G2472	G2472 ἰσότιμος [isotimos]; przymiotnik						
G2473	G2473 ἰσόψυχος [isopsychos]; przymiotnik						
G2474	G2474 Ἰσραήλ [Israēl]; rzeczownik						
G2475	G2475 Ἰσραηλίτης [Israēlitēs]; rzeczownik						
G2476	G2476 ἵστημι [histēmi]; czasownik						
G2477	G2477 ἱστορέω [historeō]; czasownik						
G2478	G2478 ἰσχυρός [ischyros]; przymiotnik						
G2479	G2479 ἰσχύς [ischys]; rzeczownik						
G2480	G2480 ἰσχύω [ischyō]; czasownik						
G2481	G2481 ἴσως [isōs]; przysłówek						
G2482	G2482 Ἰταλία [Italia]; rzeczownik						
G2483	G2483 Ἰταλικός [Italikos]; przymiotnik						
G2484	G2484 Ἰτουραία [Ituraios]; przymiotnik						
G2485	G2485 ἰχθύδιον [ichthydion]; rzeczownik						
G2486	G2486 ἰχθύς [ichthys]; rzeczownik						
G2487	G2487 ἴχνος [ichnos]; rzeczownik						
G2488	G2488 Ἰωάθαμ [Iōatham]; rzeczownik						
G2489	G2489 Ἰωάννα [Iōan(n)a]; rzeczownik						
G2490	G2490 Ἰωαννᾶς [Iōanan]; rzeczownik						
G2491	G2491 Ἰωάννης [Iōannēs]; rzeczownik						
G2492	G2492 Ἰώβ [Iōb]; rzeczownik						
G2493	G2493 Ἰωήλ [Iōēl]; rzeczownik						
G2494	G2494 Ἰωνάν [Iōnam]; rzeczownik						
G2495	G2495 Ἰωνᾶς [Iōnas]; rzeczownik						
G2496	G2496 Ἰωράμ [Iōram]; rzeczownik						
G2497	G2497 Ἰωρείμ [Iōrim]; rzeczownik						
G2498	G2498 Ἰωσαφάτ [Iōsafat]; rzeczownik						
G2499	G2499 Ἰωσή [Iōsē]; rzeczownik						
G2500	G2500 Ἰωσῆς [Iōsēs]; rzeczownik						
G2501	G2501 Ἰωσήφ [Iōsēf]; rzeczownik						
G2502	G2502 Ἰωσίας [Iōsias]; rzeczownik						
G2503	G2503 ἰῶτα [iōta]; rzeczownik						
G2504	G2504 καγώ [kagō]; zaimek						
G2505	G2505 καθά [katha]; przysłówek						
G2506	G2506 καθαίρεσις [kathairesis]; rzeczownik						
G2507	G2507 καθαιρέω [kathaireō]; czasownik						
G2508	G2508 καθαίρω [kathairō]; czasownik						
G2509	G2509 καθάπερ [kathaper]; przysłówek						
G2510	G2510 καθάπτω [kathaptō]; czasownik						
G2511	G2511 καθαρίζω [katharidzō]; czasownik						
G2512	G2512 καθαρισμός [katharismos]; rzeczownik						
G2513	G2513 καθαρός [katharos]; przymiotnik						
G2514	G2514 καθαρότης [katharotēs]; rzeczownik						
G2515	G2515 καθέδρα [kathedra]; rzeczownik						
G2516	G2516 καθέζομαι [kathedzomai]; czasownik						
G2517	G2517 καθεξῆς [kathexēs]; przysłówek						
G2518	G2518 καθεύδω [katheudō]; czasownik						
G2519	G2519 καθηγητής [kathēgētēs]; rzeczownik						
G2520	G2520 καθήκω [kathēkō]; czasownik						
G2521	G2521 κάθημαι [kathēmai]; czasownik						
G2522	G2522 καθημερινός [kathēmerinos]; przymiotnik						
G2523	G2523 καθίζω [kathidzō]; czasownik						
G2524	G2524 καθίημι [kathiēmi]; czasownik						
G2525	G2525 καθίστημι [kathistēmi]; czasownik						
G2526	G2526 καθό [katho]; przysłówek						
G2527	G2527 καθόλου [katholu]; przysłówek						
G2528	G2528 καθοπλίζω [kathoplidzō]; czasownik						
G2529	G2529 καθοράω [kathoraō]; czasownik						
G2530	G2530 καθότι [kathoti]; przysłówek						
G2531	G2531 καθώς [kathōs]; przysłówek						
G2532	G2532 καί [kai]; spójnik						
G2533	G2533 Καϊάφας [Kaïafas]; rzeczownik						
G2534	G2534 καίγε [kai]; spójnik						
G2535	G2535 Κάϊν [Kaïn]; rzeczownik						
G2536	G2536 Καϊνάν [Kaïnam]; rzeczownik						
G2537	G2537 καινός [kainos]; przymiotnik						
G2538	G2538 καινότης [kainotēs]; rzeczownik						
G2539	G2539 καίπερ [kaiper]; spójnik						
G2540	G2540 καιρός [kairos]; rzeczownik						
G2541	G2541 Καίσαρ [Kaisar]; rzeczownik						
G2542	G2542 Καισάρεια [Kaisareia]; rzeczownik						
G2543	G2543 καίτοι [kaitoi]; spójnik						
G2544	G2544 καίτοιγε [kaitoige]; spójnik						
G2545	G2545 καίω [kaiō]; czasownik						
G2546	G2546 κἀκεῖ [kakei]; przysłówek						
G2547	G2547 κἀκεῖθεν [kakeithen]; przysłówek						
G2548	G2548 κἀκεῖνος [kakeinos]; zaimek						
G2549	G2549 κακία [kakia]; rzeczownik						
G2550	G2550 κακοήθεια [kakoētheia]; rzeczownik						
G2551	G2551 κακολογέω [kakologeō]; czasownik						
G2552	G2552 κακοπάθεια [kakopatheia]; rzeczownik						
G2553	G2553 κακοπαθέω [kakopatheō]; czasownik						
G2554	G2554 κακοποιέω [kakopoieō]; czasownik						
G2555	G2555 κακοποιός [kakopoios]; przymiotnik						
G2556	G2556 κακός [kakos]; przymiotnik						
G2557	G2557 κακοῦργος [kakurgos]; przymiotnik						
G2558	G2558 κακουχέω [kakucheō]; czasownik						
G2559	G2559 κακόω [kakoō]; czasownik						
G2560	G2560 κακῶς [kakōs]; przysłówek						
G2561	G2561 κάκωσις [kakōsis]; rzeczownik						
G2562	G2562 καλάμη [kalamē]; rzeczownik						
G2563	G2563 κάλαμος [kalamos]; rzeczownik						
G2564	G2564 καλέω [kaleō]; czasownik						
G2565	G2565 καλλιέλαιος [kallielaios]; rzeczownik						
G2566	G2566 καλλίον [kallion]; przysłówek						
G2567	G2567 καλοδιδάσκαλος [kalodidaskalos]; przymiotnik						
G2568	G2568 Καλοί [Kaloi]; przymiotnik						
G2569	G2569 καλοποιέω [kalopoieō]; czasownik						
G2570	G2570 καλός [kalos]; przymiotnik						
G2571	G2571 κάλυμα [kalymma]; rzeczownik						
G2572	G2572 καλύπτω [kalyptō]; czasownik						
G2573	G2573 καλῶς [kalōs]; przysłówek						
G2574	G2574 κάμηλος [kamēlos]; rzeczownik						
G2575	G2575 κάμινος [kaminos]; rzeczownik						
G2576	G2576 καμμύω [kammyō]; czasownik						
G2577	G2577 κάμνω [kamnō]; czasownik						
G2578	G2578 κάμπτω [kamptō]; czasownik						
G2579	G2579 κἄν [kan]; spójnik						
G2580	G2580 Κανᾶ [Kana]; rzeczownik						
G2581	G2581 Κανανίτης [Kananaios]; rzeczownik						
G2582	G2582 Κανδάκη [Kandakē]; rzeczownik						
G2583	G2583 κανών [kanōn]; rzeczownik						
G2584	G2584 Καπερναούμ [Kafarnaum]; rzeczownik						
G2585	G2585 καπηλεύω [kapēleuō]; czasownik						
G2586	G2586 καπνός [kapnos]; rzeczownik						
G2587	G2587 Καππαδοκία [Kappadokia]; rzeczownik						
G2588	G2588 καρδία [kardia]; rzeczownik						
G2589	G2589 καρδιογνώστης [kardiognōstēs]; rzeczownik						
G2590	G2590 καρπός [karpos]; rzeczownik						
G2591	G2591 Κάρπος [Karpos]; rzeczownik						
G2592	G2592 καρποφορέω [karpoforeō]; czasownik						
G2593	G2593 καρποφόρος [karpoforos]; przymiotnik						
G2594	G2594 καρτερέω [kartereō]; czasownik						
G2595	G2595 κάρφος [karfos]; rzeczownik						
G2596	G2596 κατά [kata]; przyimek						
G2597	G2597 καταβαίνω [katabainō]; czasownik						
G2598	G2598 καταβάλλω [kataballō]; czasownik						
G2599	G2599 καταβαρέω [katabareō]; czasownik						
G2600	G2600 κατάβασις [katabasis]; rzeczownik						
G2601	G2601 καταβιβάζω [katabibadzō]; czasownik						
G2602	G2602 καταβολή [katabolē]; rzeczownik						
G2603	G2603 καταβραβεύω [katabrabeuō]; czasownik						
G2604	G2604 καταγγελεύς [katangeleus]; rzeczownik						
G2605	G2605 καταγγέλλω [katangellō]; czasownik						
G2606	G2606 καταγελάω [katagelaō]; czasownik						
G2607	G2607 καταγινώσκω [kataginōskō]; czasownik						
G2608	G2608 κατάγνυμι [katagnymi]; czasownik						
G2609	G2609 κατάγω [katagō]; czasownik						
G2610	G2610 καταγωνίζομαι [katagōnidzomai]; czasownik						
G2611	G2611 καταδέω [katadeō]; czasownik						
G2612	G2612 κατάδηλος [katadēlos]; przymiotnik						
G2613	G2613 καταδικάζω [katadikadzō]; czasownik						
G2614	G2614 καταδιώκω [katadiōkō]; czasownik						
G2615	G2615 καταδουλόω [kataduloō]; czasownik						
G2616	G2616 καταδυναστεύω [katadynasteuō]; czasownik						
G2617	G2617 καταισχύνω [kataischynō]; czasownik						
G2618	G2618 κατακαίω [katakaiō]; czasownik						
G2619	G2619 κατακαλύπτω [katakalyptō]; czasownik						
G2620	G2620 κατακαυχάομαι [katakauchaomai]; czasownik						
G2621	G2621 κατάκειμαι [katakeimai]; czasownik						
G2622	G2622 κατακλάω [kataklaō]; czasownik						
G2623	G2623 κατακλείω [katakleiō]; czasownik						
G2624	G2624 κατακληροδοτέω [kataklēronomeō]; czasownik						
G2625	G2625 κατακλίνω [kataklinō]; czasownik						
G2626	G2626 κατακλύζω [kataklydzō]; czasownik						
G2627	G2627 κατακλυσμός [kataklysmos]; rzeczownik						
G2628	G2628 κατακολουθέω [katakolutheō]; czasownik						
G2629	G2629 κατακόπτω [katakoptō]; czasownik						
G2630	G2630 κατακρημνίζω [katakrēmnidzō]; czasownik						
G2631	G2631 κατάκριμα [katakrima]; rzeczownik						
G2632	G2632 κατακρίνω [katakrinō]; czasownik						
G2633	G2633 κατάκρισις [katakrisis]; rzeczownik						
G2634	G2634 κατακυριεύω [katakyrieuō]; czasownik						
G2635	G2635 καταλαλέω [katalaleō]; czasownik						
G2636	G2636 καταλαλία [katalalia]; rzeczownik						
G2637	G2637 κατάλαλος [katalalos]; przymiotnik						
